Site,Name,Lat,Long,Start,End
29141,CLONCURRY AIRPORT,-20.6664,140.505,1978-05-01,2024-07-01
48237,COBAR AIRPORT AWS,-31.5388,145.7964,1993-07-01,2024-07-01
48027,COBAR MO,-31.484,145.8294,1962-05-01,2024-07-01
27054,COCONUT ISLAND,-10.0511,143.0686,1988-07-01,2024-07-01
200284,COCOS ISLAND AIRPORT,-12.1892,96.8344,1952-02-01,2024-07-01
27073,COEN AIRPORT,-13.7606,143.1183,2002-06-01,2024-07-01
18230,COFFIN BAY (POINT AVOID),-34.675,135.3362,2017-06-01,2024-07-01
59151,COFFS HARBOUR AIRPORT,-30.3189,153.1162,2013-08-01,2024-07-01
90035,COLAC (MOUNT GELLIBRAND),-38.2333,143.7924,2000-07-01,2024-07-01
86383,COLDSTREAM,-37.7239,145.4092,1994-10-01,2024-07-01
9994,COLLIE EAST,-33.3608,116.1717,2002-12-01,2024-07-01
84143,COMBIENBAR AWS,-37.3416,149.0227,1994-07-01,2024-07-01
50137,CONDOBOLIN AIRPORT AWS,-33.0682,147.2133,1993-07-01,2024-07-01
16090,COOBER PEDY AIRPORT,-29.0347,134.7222,1994-07-01,2024-07-01
31209,COOKTOWN AIRPORT,-15.4461,145.1861,2000-06-01,2024-07-01
40717,COOLANGATTA,-28.1681,153.5053,1987-10-01,2024-07-01
70217,COOMA AIRPORT AWS,-36.2939,148.9725,1990-06-01,2024-07-01
64017,COONABARABRAN AIRPORT AWS,-31.333,149.2699,2001-07-01,2024-07-01
51161,COONAMBLE AIRPORT AWS,-30.9776,148.3798,1997-09-01,2024-07-01
26091,COONAWARRA,-37.2906,140.8254,1985-10-01,2024-07-01
61412,COORANBONG (LAKE MACQUARIE AWS),-33.0887,151.4636,2008-07-01,2024-07-01
85301,CORNER INLET (YANAKIE),-38.8051,146.1936,2013-01-01,2024-07-01
32194,COWLEY BEACH (DEFENCE),-17.6905,146.1126,2017-04-01,2024-07-01
65111,COWRA AIRPORT AWS,-33.8382,148.654,2004-07-01,2024-07-01
200736,CREAL REEF,-20.5303,150.3773,1973-08-01,2024-07-01
91375,CRESSY (BRUMBYS CREEK),-41.7114,147.082,2022-12-01,2024-07-01
14308,CROKER ISLAND AIRPORT,-11.1629,132.4813,2012-09-01,2024-07-01
18229,CULTANA (DEFENCE),-32.6845,137.3689,2017-12-01,2024-07-01
18217,CUMMINS AERO,-34.2524,135.7135,2007-06-01,2024-07-01
10286,CUNDERDIN AIRFIELD,-31.6219,117.2217,1996-10-01,2024-07-01
3080,CURTIN AERO,-17.5768,123.8297,1989-12-01,2024-07-01
41522,DALBY AIRPORT,-27.1605,151.2633,1992-01-01,2024-07-01
8297,DALWALLINU,-30.2761,116.6714,1997-05-01,2024-07-01
14626,DALY WATERS AIRSTRIP,-16.2637,133.3782,1939-05-01,2024-07-01
90194,DARTMOOR,-37.9222,141.2614,2009-03-01,2024-07-01
14015,DARWIN AIRPORT,-12.4239,130.8925,1941-01-01,2024-07-01
300000,DAVIS,-68.5744,77.9672,1957-02-01,2024-07-01
14949,DELAMERE WEAPONS RANGE,-15.7441,131.9181,1997-04-01,2024-07-01
74258,DENILIQUIN AIRPORT AWS,-35.5575,144.9458,1997-06-01,2024-07-01
94255,DENNES POINT,-43.0639,147.3567,2012-09-01,2024-07-01
3032,DERBY AERO,-17.3706,123.6611,1972-04-01,2024-07-01
91126,DEVONPORT AIRPORT,-41.1701,146.4289,1990-12-01,2024-07-01
300051,DOME A,-80.3675,77.3739,2005-03-01,2024-07-01
40068,DOUBLE ISLAND POINT LIGHTHOUSE,-25.9319,153.1906,1957-01-01,2024-07-01
14901,DOUGLAS RIVER RESEARCH FARM,-13.8345,131.1872,1968-01-01,2024-07-01
65070,DUBBO AIRPORT AWS,-32.2206,148.5753,1993-01-01,2024-07-01
94254,DUNALLEY (STROUD POINT),-42.9017,147.7894,2012-03-01,2024-07-01
9538,DWELLINGUP,-32.7103,116.0594,1957-01-01,2024-07-01
85072,EAST SALE,-38.1156,147.1323,1943-04-01,2024-07-01
85314,EAST SALE AIRPORT,-38.1016,147.1398,2017-10-01,2024-07-01
79099,EDENHOPE AIRPORT,-37.0222,141.2657,2005-04-01,2024-07-01
23083,EDINBURGH RAAF,-34.7111,138.6223,1972-11-01,2024-07-01
22046,EDITHBURGH,-35.1121,137.7395,1987-10-01,2024-07-01
88164,EILDON FIRE TOWER,-37.2091,145.8423,1996-07-01,2024-07-01
35264,EMERALD AIRPORT,-23.5694,148.1756,1992-07-01,2024-07-01
16097,ERNABELLA (PUKATJA),-26.2635,132.1771,1997-07-01,2024-07-01
9789,ESPERANCE,-33.83,121.8925,1969-06-01,2024-07-01
9542,ESPERANCE AERO,-33.6825,121.8275,1991-04-01,2024-07-01
109504,ESPERANCE NTC AWS,-33.8707,121.8971,2015-02-01,2024-07-01
86038,ESSENDON AIRPORT,-37.7276,144.9066,1939-04-01,2024-07-01
49136,EUABALONG (MOUNT HOPE AWS),-32.8261,145.8801,2017-09-01,2024-07-01
11003,EUCLA,-31.6797,128.8958,1957-01-01,2024-07-01
58212,EVANS HEAD RAAF BOMBING RANGE AWS,-29.183,153.3964,1998-02-01,2024-07-01
83084,FALLS CREEK,-36.8708,147.2755,1990-09-01,2024-07-01
86266,FERNY CREEK,-37.8748,145.3497,2011-03-01,2024-07-01
92163,FINGAL (FLEMING ST),-41.643,147.98,2022-07-01,2024-07-01
3093,FITZROY CROSSING AERO,-18.1814,125.5619,1997-08-01,2024-07-01
99005,FLINDERS ISLAND AIRPORT,-40.0911,148.0024,1962-01-01,2024-07-01
200783,FLINDERS REEF,-17.7195,148.4478,1972-09-01,2024-07-01
65103,FORBES AIRPORT AWS,-33.3627,147.9205,1995-12-01,2024-07-01
11052,FORREST,-30.8453,128.1092,1993-03-01,2024-07-01
46128,FOWLERS GAP AWS,-31.0863,141.7008,2004-10-01,2024-07-01
86388,FRANKSTON (BALLAM PARK),-38.1517,145.1615,2020-06-01,2024-07-01
200701,FREDERICK REEF,-20.9375,154.4019,1972-09-01,2024-07-01
92114,FRIENDLY BEACHES,-41.9953,148.2794,1997-03-01,2024-07-01
84016,GABO ISLAND LIGHTHOUSE,-37.5679,149.9158,1957-01-01,2024-07-01
200831,GANNET CAY,-21.9769,152.4707,1973-11-01,2024-07-01
9256,GARDEN ISLAND HSF,-32.2433,115.6839,2001-11-01,2024-07-01
39066,GAYNDAH AIRPORT,-25.6167,151.6156,2003-01-01,2024-07-01
84142,GELANTIPY,-37.22,148.2626,1992-12-01,2024-07-01
30124,GEORGETOWN AIRPORT,-18.3039,143.5306,2004-06-01,2024-07-01
8315,GERALDTON AIRPORT,-28.8047,114.6989,2011-07-01,2024-07-01
13017,GILES METEOROLOGICAL OFFICE,-25.0341,128.301,1956-08-01,2024-07-01
9178,GINGIN AERO,-31.4628,115.8642,1996-05-01,2024-07-01
51164,GIRILAMBONE (OKEH) AWS,-31.0824,146.9296,2017-05-01,2024-07-01
39326,GLADSTONE AIRPORT,-23.8697,151.2214,1993-10-01,2024-07-01
39123,GLADSTONE RADAR,-23.8553,151.2628,1957-12-01,2024-07-01
56243,GLEN INNES AIRPORT AWS,-29.678,151.694,1996-10-01,2024-07-01
40764,GOLD COAST SEAWAY,-27.939,153.4283,1989-11-01,2024-07-01
41560,GOONDIWINDI AIRPORT,-28.5226,150.3223,2020-12-01,2024-07-01
61425,GOSFORD AWS,-33.4351,151.3614,2013-06-01,2024-07-01
70330,GOULBURN AIRPORT AWS,-34.8085,149.7311,1989-08-01,2024-07-01
14412,GOVE AIRPORT,-12.2684,136.8188,2023-04-01,2024-07-01
58161,GRAFTON AIRPORT AWS,-29.7583,153.0297,2006-04-01,2024-07-01
58077,GRAFTON RESEARCH STN,-29.6224,152.9605,2002-09-01,2024-07-01
79103,GRAMPIANS (MOUNT WILLIAM),-37.295,142.6039,2005-12-01,2024-07-01
69137,GREEN CAPE AWS,-37.2622,150.0504,1991-04-01,2024-07-01
140009,GREENBANK (DEFENCE),-27.6932,152.9935,2018-03-01,2024-07-01
75041,GRIFFITH AIRPORT AWS,-34.2487,146.0695,1967-01-01,2024-07-01
14518,GROOTE EYLANDT AIRPORT,-13.9746,136.463,1999-05-01,2024-07-01
94220,GROVE (RESEARCH STATION),-42.9844,147.0756,2004-06-01,2024-07-01
55202,GUNNEDAH AIRPORT AWS,-30.9537,150.2494,2001-09-01,2024-07-01
55024,GUNNEDAH RESOURCE CENTRE,-31.0261,150.2687,1948-07-01,2024-07-01
